	type	stat	multiplier	element	target	playerCost	rarity	EN	damage	condition	upgradeable	AI	weight	exhaust	retain	armor	gfx	draw	energy_gain	FR	DE	ES	BR	CN	JP	RU
Reforge	Skill			None	player	1	4	Reforge{desc}Put one card from your hand on top of your draw pile.^It costs 0 until it is played.			0	0	0.5	0	0	0	shine			Refonte{desc}Place une carte de ta main sur le dessus de ta pioche.^Elle coûte 0 point d'énergie jusqu'à ce qu'elle soit jouée.	Neu geschmiedet{desc}Lege 1 Karte aus deiner Hand auf deinen Nachziehstapel.^Kostet 0 bis gespielt.	Reforjar{desc}Mueve una carta de tu mano a la parte superior del mazo.^Mientras no se juega, su coste es 0.	Reforja{desc}Coloca uma carta da sua mão no topo da sua pilha de compras.^Ela custa 0 até ser usada.	重铸{desc}将手牌中的 1 张牌放在抽牌堆顶。^在使用此卡牌前，消耗为 0。	鍛え直し{desc}手札のカードを1枚、山札の一番上に置く。^使用するまでコストがかからない。	Перековка{desc}Верните одну карту из вашей руки на верх колоды. Её стоимость будет 0, пока она не будет сыграна.
Retreat	Skill			None	player	3	1	Retreat{desc}Flee from battle.^100% chance of getting away.			0	0	0.5	0	0	0	shine			Retraite{desc}Permet de fuir le combat.^100 % de chances de réussite.	Rückzug{desc}Fliehe aus dem Kampf.^Du entkommst mit einer Chance von 100%.	Retirada{desc}Huye del combate.^100 % de probabilidad de escapar.	Retirada{desc}Foge da batalha.^100% de chance de escapar.	撤退{desc}逃离战斗。^成功逃跑的几率为 100%。	撤退{desc}戦いから逃げる。^100%の確率で逃げる。	Отступление{desc}Убежать из битвы с 100% шансом на успех.
Regroup	Skill			None	player	0	1	Regroup{desc}If the last card played was an Attack, draw one card.			1	0	0.5	1	0	0	shine			Coup double{desc}Si la dernière carte jouée était une carte Attaque, pioche une carte.	Frische Kräfte{desc}Ziehe 1 Karte, wenn die letzte gespielte Karte ein Angriff war.	Reorganización{desc}Si acabas de jugar una carta de ataque, robas una carta.	Reagrupar{desc}Se a última carta usada foi um ataque, compra uma carta.	重整{desc}如果上一张出的牌是攻击牌，抽 1 张牌。	再編成{desc}最後に使用したカードが「アタック」の場合、カードを1枚引く。	Перегруппировка{desc}Если последней сыгранной картой была карта Атаки, получите одну карту.
Regroup+	Skill			None	player	0	2	Regroup+{desc}If the last card played was an Attack, draw two cards.			0	0	0.5	1	0	0	shine			Coup double+{desc}Si la dernière carte jouée était une carte Attaque, pioche 2 cartes.	Frische Kräfte+{desc}Ziehe 2 Karten, wenn die letzte gespielte Karte ein Angriff war.	Reorganización +{desc}Si acabas de jugar una carta de ataque, robas dos cartas.	Reagrupar+{desc}Se a última carta usada foi um ataque, compra duas cartas.	重整+{desc}如果上一张出的牌是攻击牌，抽 2 张牌。	再編成+{desc}最後に使用したカードが「アタック」の場合、カードを2枚引く。	Перегруппировка+{desc}Если последней сыгранной картой была карта Атаки, получите две карты.
																										
Graverobber	Skill			None	player	1	2	Graverobber{desc}Draw one random card from your discard pile.			1	0	0.5	0	0	0	shine			Fossoyeur{desc}Pioche une carte au hasard dans ta défausse.	Grabräuber{desc}Ziehe 1 zufällige Karte aus deinem Ablagestapel.	Saqueatumbas{desc}Roba una carta al azar de tu pila de descartes.	Roubo de Túmulo{desc}Compra uma carta aleatória da sua pilha de descarte.	盗墓者{desc}从弃牌堆中随机抽 1 张牌。	墓荒らし{desc}捨て札からランダムにカードを1枚引く。	Расхититель могил{desc}Получите одну случайную карту из стопки сброса.
Graverobber+	Skill			None	player	0	3	Graverobber+{desc}Draw one random card from your discard pile.			0	0	0.5	0	0	0	shine			Fossoyeur+{desc}Pioche une carte au hasard dans ta défausse.	Grabräuber+{desc}Ziehe 1 zufällige Karte aus deinem Ablagestapel.	Saqueatumbas +{desc}Roba una carta al azar de tu pila de descartes.	Roubo de Túmulo+{desc}Compra uma carta aleatória da sua pilha de descarte.	盗墓者+{desc}从弃牌堆中随机抽 1 张牌。	墓荒らし+{desc}捨て札からランダムにカードを1枚引く。	Расхититель могил+{desc}Получите одну случайную карту из стопки сброса.
Fancy Spin	Skill			None	player	1	1	Fancy Spin{desc}Discard one card.^Draw one card.			1	0	0.5	0	0	0	shine			Échange{desc}Défausse-toi d'une carte.^Pioche une carte.	Schnelle Drehung{desc}Wirf 1 Karte ab.^Ziehe 1 Karte.	Giro Elegante{desc}Descarta una carta.^Roba una carta.	Giro Elegante{desc}Descarta uma carta.^Compra uma carta.	花式旋转{desc}弃 1 张牌。^抽 1 张牌。	気まぐれな交換{desc}カード1枚を捨てる。^カードを1枚引く。	Эффектный пируэт{desc}Сбросьте одну карту.^Получите одну карту.
Fancy Spin+	Skill			None	player	1	2	Fancy Spin+{desc}Discard 1 card.^Draw 2 cards.			0	0	0.5	0	0	0	shine			Échange+{desc}Défausse-toi d'une carte.^Pioche 2 cartes.	Schnelle Drehung+{desc}Wirf 1 Karte ab.^Ziehe 2 Karten.	Giro Elegante +{desc}Descarta una carta.^Roba dos cartas.	Giro Elegante+{desc}Descarta 1 carta.^Compra 2 cartas.	花式旋转+{desc}弃 1 张牌。^抽 2 张牌。	気まぐれな交換+{desc}カード1枚を捨てる。^カードを2枚引く。	Эффектный пируэт+{desc}Сбросьте одну карту.^Получите две карты.
Blind Blow	Skill			None	player	1	3	Blind Blow{desc}Draw the top card from your deck and reduce its Energy cost to 0.			1	0	0.5	1	0	0	shine			À l'aveuglette{desc}Pioche la première carte de ton deck et réduit son coût à 0.	Blinder Schlag{desc}Ziehe die oberste Karte von deinem Nachziehstapel und senke ihre Energiekosten auf 0.	Golpe Ciego{desc}Coge la primera carta del mazo y reduce su coste de energía a 0.	Saque Súbito{desc}Compra a carta do topo do seu baralho e reduz seu custo de Energia para 0.	盲目一击{desc}从你的卡组牌堆顶抽取 1 张牌，并将其能源消耗降至 0。	見えない一撃{desc}デッキの一番上からカードを引く。引いたカードはエネルギーコストがかからない。	Слепой удар{desc}Получите верхнюю карту из вашей колоды, ее стоимость будет снижена до 0.
Blind Blow+	Skill			None	player	1	4	Blind Blow+{desc}Draw the top two cards from your deck and reduce their Energy cost to 0.			0	0	0.5	1	0	0	shine			À l'aveuglette+{desc}Pioche les 2 premières cartes de ton deck et réduit leur coût à 0.	Blinder Schlag+{desc}Ziehe die obersten 2 Karten von deinem Nachziehstapel und senke ihre Energiekosten auf 0.	Golpe Ciego +{desc}Coge las dos primeras cartas del mazo y reduce su coste de energía a 0.	Saque Súbito+{desc}Compra as duas cartas do topo do seu baralho e reduz o custo de Energia delas para 0.	盲目一击+{desc}从你的卡组牌堆顶抽取 2 张牌，并将其能源消耗降至 0。	見えない一撃+{desc}デッキの一番上からカードを2枚引く。引いたカードはエネルギーコストがかからない。	Слепой удар+{desc}Получите две верхние карты из вашей колоды, их стоимость будет снижена до 0.
Inspiration	Skill			None	player	1	2	Inspiration{desc}Put a random Skill card from your draw or discard pile into your hand.^It costs 0 this turn.			0	0	0.5	1	0	0	shine			Inspiration{desc}Pioche une carte Compétence au hasard dans ta pioche ou ta défausse et place-la dans ta main. Elle coûte 0 point d'énergie pour ce tour.	Inspiration{desc}Nimm 1 zufällige Fähigkeitskarte aus deinem Nachzieh- oder Ablagestapel auf die Hand. Sie kostet in diesem Zug 0.	Inspiración{desc}Mueve una carta de habilidad al azar del mazo o la pila de descartes a tu mano. Durante este turno, su coste es 0.	Inspiração{desc}Coloca uma carta de habilidade aleatória da sua pilha de compras ou de descarte na sua mão. Ela custa 0 nesse turno.	启示{desc}从你的抽牌堆或弃牌堆中随机抽 1 张技能牌放入你的手牌。^此牌在本回合消耗为 0。	ひらめき{desc}山札か捨て札のランダムなスキルカードを1枚、手札へ置く。^このターン中はコストがかからない。	Вдохновение{desc}Поместите случайную карту Навыка из любой стопки в вашу руку. Её стоимость будет 0 в этот ход.
Mastermind	Skill			None	player	1	2	Mastermind{desc}Put a random Attack card from your draw or discard pile into your hand.^It costs 0 this turn.			0	0	0.5	1	0	0	shine			Esprit supérieur{desc}Pioche une carte Attaque au hasard dans ta pioche ou ta défausse et place-la dans ta main. Elle coûte 0 point d'énergie pour ce tour.	Genie{desc}Nimm 1 zufällige Angriffskarte aus deinem Nachzieh- oder Ablagestapel auf die Hand. Sie kostet in diesem Zug 0.	Artífice{desc}Mueve una carta de ataque al azar del mazo o la pila de descartes a tu mano. Durante este turno, su coste es 0.	Manipulação{desc}Coloca uma carta de ataque aleatória da sua pilha de compras ou de descarte na sua mão. Ela custa 0 nesse turno.	智囊{desc}从抽牌堆或弃牌堆中随机抽 1 张攻击牌放入你的手牌。^此牌在本回合消耗为 0。	黒幕{desc}山札か捨て札のランダムなアタックカードを1枚、手札に置く。^このターン中はコストがかからない。	Мегамозг{desc}Поместите случайную карту Атаки из любой стопки в вашу руку. Её стоимость будет 0 в этот ход.
Refresh	Skill			None	player	1	1	Refresh{desc}Discard your hand then draw that many.			1	0	0.5	1	0	0	shine			Nouvelle donne{desc}Défausse-toi de toutes les cartes dans ta main et pioches-en autant.	Atempause{desc}Wirf alle Karten aus deiner Hand ab und ziehe entsprechend viele Karten nach.	Recarga{desc}Descarta tu mano y roba cartas nuevas.	Reciclagem{desc}Descarta sua mão e compra a mesma quantidade de cartas.	焕然一新{desc}弃掉你的手牌，然后抽取相同数量的牌。	リフレッシュ{desc}手札を捨て、捨てたのと同じ枚数を引く。	Обновление{desc}Сбросьте вашу руку, затем возьмите столько же карт.
Refresh+	Skill			None	player	0	2	Refresh+{desc}Discard your hand then draw that many.			0	0	0.5	1	1	0	shine			Nouvelle donne+{desc}Défausse-toi de toutes les cartes dans ta main et pioches-en autant.	Atempause+{desc}Wirf alle Karten aus deiner Hand ab und ziehe entsprechend viele Karten nach.	Recarga +{desc}Descarta tu mano y roba cartas nuevas.	Reciclagem+{desc}Descarta sua mão e compra a mesma quantidade de cartas.	焕然一新+{desc}弃掉你的手牌，然后抽取相同数量的牌。	リフレッシュ+{desc}手札を捨て、捨てたのと同じ枚数を引く。	Обновление+{desc}Сбросьте вашу руку, затем возьмите столько же карт.
Follow Through	Skill			None	player	1	1	Follow Thru{desc}Draw one card.^If you draw an Attack card, reduce its cost to 0.			0	0	0.5	0	0	0	shine			Enchaînement{desc}Pioche une carte.^S'il s'agit d'une carte Attaque, son coût est réduit à 0.	Bis zum Ende{desc}Ziehe 1 Karte.^Wenn du eine Angriffskarte ziehst, senke ihre Kosten auf 0.	Terminar{desc}Roba una carta.^Si es una carta de ataque, reduce su coste a 0.	Em Frente{desc}Compra uma carta.^Se você comprar uma carta de ataque, reduz seu custo para 0.	顺势而为{desc}抽 1 张牌。^如果你抽到的是攻击牌，将其消耗降至 0。	フォロースルー{desc}カードを1枚引く。^アタックカードを引いた場合、コストがかからない。	Твердая рука{desc}Получите одну карту.^Если это карта Атаки, её стоимость снизится до 0.
Follow Up	Skill			None	player	1	2	Follow Up{desc}Draw one card.^If you draw a Skill card, reduce its cost to 0.			0	0	0.5	0	0	0	shine			Combinaison{desc}Pioche une carte.^S'il s'agit d'une carte Compétence, son coût est réduit à 0.	Hinterher{desc}Ziehe 1 Karte.^Wenn du eine Fähigkeitskarte ziehst, senke ihre Kosten auf 0.	Continuar{desc}Roba una carta.^Si es una carta de habilidad, reduce su coste a 0.	Sequência{desc}Compra uma carta.^Se você comprar uma carta de habilidade, reduz seu custo para 0.	乘势而上{desc}抽 1 张牌。^如果你抽到的是技能牌，将其消耗降至 0。	フォローアップ{desc}カードを1枚引く。^スキルカードを引いた場合、コストがかからない。	Трезвый ум{desc}Получите одну карту.^Если это карта Навыка, её стоимость снизится до 0.
																										
																										
Impatience	Skill			None	player	0	4	Impatience{desc}Put two random Attack cards from your draw or discard pile on top of your draw pile.			1	0	0.5	0	0	0	shine			Impatience{desc}Place 2 cartes Attaque aléatoires de ta pioche ou de ta défausse sur le dessus de ta pioche.	Ungeduld{desc}Lege 2 zufällige Angriffskarten aus deinem Nachzieh- oder Ablagestapel auf deinen Nachziehstapel.	Impaciencia{desc}Mueve dos cartas de ataque al azar del mazo o la pila de descartes a la parte superior del mazo.	Impaciência{desc}Coloca duas cartas de ataque aleatórias da sua pilha de compras ou de descarte no topo da sua pilha de compras.	失去耐心{desc}将你的抽牌堆或弃牌堆中的 2 张随机攻击牌放在你的抽牌堆顶。	短気{desc}山札または捨て札からランダムな「アタック」カードを2枚、山札の一番上に置く。	Нетерпение{desc}Поместите две случайные карты Атаки из вашей колоды или стопки сброса на вершину вашей колоды.
Impatience+	Skill			None	player	0	4	Impatience+{desc}Put three random Attack cards from your draw or discard pile on top of your draw pile.			0	0	0.5	0	0	0	shine			Impatience+{desc}Place 3 cartes Attaque aléatoires de ta pioche ou de ta défausse sur le dessus de ta pioche.	Ungeduld+{desc}Lege 3 zufällige Angriffskarten aus deinem Nachzieh- oder Ablagestapel auf deinen Nachziehstapel.	Impaciencia +{desc}Coloca tres cartas de ataque al azar del mazo o la pila de descartes en la parte superior de tu mazo.	Impaciência+{desc}Coloca três cartas de ataque aleatórias da sua pilha de compras ou de descarte no topo da sua pilha de compras.	失去耐心+{desc}将你的抽牌堆或弃牌堆中的 3 张随机攻击牌放在你的抽牌堆顶。	短気+{desc}山札または捨て札からランダムな「アタック」カードを3枚、山札の一番上に置く。	Нетерпение+{desc}Поместите три случайные карты Атаки из вашей колоды или стопки сброса на вершину вашей колоды.
Consume	Skill			None	player	0	3	Consume{desc}Choose two cards to discard.^Gain 1 Energy.			1	0	0.5	1	0	0	shine			Deuxième vie{desc}Choisis 2 cartes dont tu veux te défausser.^Gagne 1 point d'énergie.	Verbrauchen{desc}Wähle 2 Karten zum Ablegen.^Erhalte 1 Energie.	Consumo{desc}Escoge dos cartas para descartar.^Obtienes 1 punto de energía.	Consumir{desc}Escolhe duas cartas para descartar.^Recebe 1 de Energia.	有舍有得{desc}选择 2 张牌弃掉。^获得 1 点能源。	消費{desc}カードを2枚選んで捨て札に置く。^エネルギーを1獲得する。	Утилизация{desc}Выберите две карты для сброса.^Получите 1 энергию.
Consume+	Skill			None	player	0	4	Consume+{desc}Choose two cards to discard.^Gain 2 Energy.			0	0	0.5	1	0	0	shine			Deuxième vie+{desc}Choisis 2 cartes dont tu veux te défausser.^Gagne 2 points d'énergie.	Verbrauchen+{desc}Wähle 2 Karten zum Ablegen.^Erhalte 2 Energie.	Consumo +{desc}Escoge dos cartas para descartar.^Obtienes 2 puntos de energía.	Consumir+{desc}Escolhe duas cartas para descartar.^Recebe 2 de Energia.	有舍有得+{desc}选择 2 张牌弃掉。^获得 2 点能源。	消費+{desc}カードを2枚選んで捨て札に置く。^エネルギーを2獲得する。	Утилизация+{desc}Выберите две карты для сброса.^Получите 2 энергии.
Momentum	Skill			None	player	3	3	Momentum{desc}This turn, whenever you play a card, draw one card.			1	0	0.5	0	0	0	shine			Dynamisme{desc}Lors de ce tour, chaque fois que tu joues une carte, tu en pioches une.	Dynamik{desc}Immer wenn du in diesem Zug 1 Karte spielst, ziehe 1 Karte.	Ímpetu{desc}Durante este turno, por cada carta que juegues, robas otra.	Impulso{desc}Neste turno, sempre que jogar uma carta, compre uma carta.	乘势追击{desc}在本回合，你每出 1 张牌，可抽 1 张牌。	機運{desc}残りのターン中、カードを使用すると必ず、カードを1枚引く。	Инициатива{desc}В этот ход, каждый раз, когда вы играете карту, получайте одну карту.
Momentum+	Skill			None	player	3	4	Momentum+{desc}For the rest of combat, whenever you play a card, draw one card. 			0	0	0.5	1	0	0	shine			Dynamisme+{desc}Pour le reste du combat, chaque fois que tu joues une carte, tu en pioches une.	Dynamik+{desc}Für den Rest des Kampfs gilt: Wenn du 1 Karte spielst, ziehe 1 Karte.	Ímpetu +{desc}Para el resto del combate, por cada carta que juegues, robas otra.	Impulso+{desc}Até o fim do combate, sempre que jogar uma carta, compre uma carta.	乘势追击+{desc}你每出 1 张牌，可抽 1 张牌，持续到战斗结束。	機運+{desc}残りのターン中、カードを使用すると必ず、カードを1枚引く。	Инициатива+{desc}До завершения боя, каждый раз, когда вы играете карту, получайте одну карту.
Perception	Skill			None	player	1	1	Perception{desc}Draw one card.			1	0	0.5	0	1	0	shine	1		Intuition{desc}Pioche une carte.	Übersicht{desc}Ziehe 1 Karte.	Perspicacia{desc}Roba una carta.	Intuição{desc}Compra uma carta.	洞察{desc}抽 1 张牌。	知覚{desc}カードを1枚引く。	Восприятие{desc}Получите одну карту.
Perception+	Skill			None	player	1	2	Perception+{desc}Draw two cards.			0	0	0.5	0	1	0	shine	2		Intuition+{desc}Pioche 2 cartes.	Übersicht+{desc}Ziehe 2 Karten.	Perspicacia +{desc}Roba dos cartas.	Intuição+{desc}Compra duas cartas.	洞察+{desc}抽 2 张牌。	知覚+{desc}カードを2枚引く。	Восприятие+{desc}Получите две карты.
																										
Foresight	Skill			None	player	1	2	Foresight{desc}Look at the top two cards of your draw pile. Choose one to add to your hand.			1	0	0.5	0	0	0	shine			Clairvoyance{desc}Regarde les 2 premières cartes de ta pioche et choisis-en une à ajouter à ta main.	Weitblick{desc}Sieh dir die obersten 2 Karten deines Nachziehstapels an. Wähle 1 Karte aus und nimm sie auf die Hand.	Premonición{desc}Echa un vistazo a las dos primeras cartas del mazo. Añade una de ellas a tu mano.	Previsão{desc}Veja as duas primeiras cartas da sua pilha de compras. Escolha uma para adicionar à sua mão.	预见{desc}查看你抽牌堆顶的 2 张牌。选择 1 张加入你的手牌。	先見の明{desc}山札の一番上にあるカードを2枚めくる。どちらか1枚選んで手札に加える。	Предвидение{desc}Посмотрите две верхние карты в колоде. Выберите одну, чтобы добавить в вашу руку.
Foresight+	Skill			None	player	1	3	Foresight+{desc}Look at the top three cards of your draw pile. Choose one to add to your hand.			0	0	0.5	0	0	0	shine			Clairvoyance+{desc}Regarde les 3 premières cartes de ta pioche et choisis-en une à ajouter à ta main.	Weitblick+{desc}Sieh dir die obersten 3 Karten deines Nachziehstapels an. Wähle 1 Karte aus und nimm sie auf die Hand.	Premonición +{desc}Echa un vistazo a las tres primeras cartas del mazo. Añade una de ellas a tu mano.	Previsão+{desc}Veja as três primeiras cartas da sua pilha de compras. Escolha uma para adicionar à sua mão.	预见+{desc}查看你抽牌堆顶的 3 张牌。选择 1 张加入你的手牌。	先見の明+{desc}山札の一番上のあるカードを3枚めくる。どれか1枚選んで手札に加える。	Предвидение+{desc}Посмотрите три верхние карты в колоде. Выберите одну, чтобы добавить в вашу руку.
Hindsight	Skill			None	player	1	2	Hindsight{desc}Look at the top two cards of your discard pile. Choose one to add to your hand.			1	0	0.5	0	0	0	shine			Seconde chance{desc}Regarde les 2 premières cartes de ta défausse et choisis-en une à ajouter à ta main.	Rückblick{desc}Sieh dir die obersten 2 Karten deines Ablagestapels an. Wähle 1 Karte aus und nimm sie auf die Hand.	Retrospección{desc}Echa un vistazo a las dos primeras cartas de la pila de descartes. Añade una de ellas a tu mano.	Retrospectiva{desc}Veja as duas primeiras cartas da sua pilha de descarte. Escolha uma para adicionar à sua mão.	马后炮{desc}查看你弃牌堆顶的 2 张牌。选择 1 张加入你的手牌。	あと知恵{desc}捨て札の一番上にあるカードを2枚めくる。どちらか1枚を選んで手札に加える。	Размышление{desc}Посмотрите две верхние карты в стопке сброса. Выберите одну, чтобы добавить в вашу руку.
Hindsight+	Skill			None	player	1	3	Hindsight+{desc}Look at the top three cards of your discard pile. Choose one to add to your hand.			0	0	0.5	0	0	0	shine			Seconde chance+{desc}Regarde les 3 premières cartes de ta défausse et choisis-en une à ajouter à ta main.	Rückblick+{desc}Sieh dir die obersten 3 Karten deines Ablagestapels an. Wähle 1 Karte aus und nimm sie auf die Hand.	Retrospección +{desc}Echa un vistazo a las tres primeras cartas de la pila de descartes. Añade una de ellas a tu mano.	Retrospectiva+{desc}Veja as três primeiras cartas da sua pilha de descarte. Escolha uma para adicionar à sua mão.	马后炮+{desc}查看你弃牌堆顶的 3 张牌。选择 1 张加入你的手牌。	あと知恵+{desc}捨て札の一番上にあるカードを3枚めくる。どれか1枚選んで手札に加える。	Размышление+{desc}Посмотрите три верхние карты в стопке сброса. Выберите одну, чтобы добавить в вашу руку.
Reconsider	Skill			None	player	0	1	Reconsider{desc}Shuffle your discard pile into your draw pile. Choose one card to go on top.			0	0	0.5	0	0	0	shine			Reconsidération{desc}Mélange les cartes de ta défausse avec celles de ta pioche et choisis une carte à placer sur le dessus de cette dernière.	Überdenken{desc}Mische deinen Ablagestapel in deinen Nachziehstapel. Wähle 1 Karte aus und lege sie nach oben.	Reconsideración{desc}Baraja la pila de descartes con el mazo y pon la carta que quieras en la parte superior.	Plano B{desc}Embaralhe sua pilha de descarte em sua pilha de compras. Escolha uma carta para ficar no topo.	重新考虑{desc}将你的弃牌堆洗入你的抽牌堆。选择 1 张牌放在顶部。	再考{desc}捨て札をシャッフルして山札に加え、1枚選んで一番上に置く。	Переосмысление{desc}Перемешайте вашу стопку сброса в вашу колоду. Выберите одну карту, чтобы поместить на верх.
Peek	Skill			None	player	1	3	Peek{desc}Look through your draw pile. Choose one card to add to your hand.			0	0	0.5	0	0	0	shine			Aperçu{desc}Regarde ta pioche et choisis une carte à ajouter à ta main.	Späher{desc}Sieh deinen Nachziehstapel durch. Wähle 1 Karte aus und nimm sie auf die Hand.	Ojeada{desc}Échale un ojo al mazo. Escoge una carta y añádela a tu mano.	Espiar{desc}Veja sua pilha de compras. Escolha uma carta para adicionar à sua mão.	窥视{desc}查看你的抽牌堆。选择 1 张牌加入你的手牌。	盗み見{desc}山札を一通り確認し、1枚選んで手札に加える。	Подглядывание{desc}Просмотрите вашу колоду. Выберите одну карту, чтобы добавить в вашу руку.
Peer	Skill			None	player	1	4	Peer{desc}Look through your discard pile. Choose one card to add to your hand.			0	0	0.5	0	0	0	shine			Réexamen{desc}Regarde ta défausse et choisis une carte à ajouter à ta main.	Überprüfung{desc}Sieh deinen Ablagestapel durch. Wähle 1 Karte aus und nimm sie auf die Hand.	Vistazo{desc}Échale un vistazo a la pila de descartes. Escoge una carta y añádela a tu mano.	Examinar{desc}Veja sua pilha de descarte. Escolha uma carta para adicionar à sua mão.	窥探{desc}查看你的弃牌堆。选择 1 张牌加入你的手牌。	凝視{desc}捨て札を一通り確認し、1枚選んで手札に加える。	Сосредоточение{desc}Просмотрите вашу стопку сброса. Выберите одну карту, чтобы добавить в вашу руку.
Sacrifice	Skill			None	player	0	1	Sacrifice{desc}Choose two cards to exhaust. Choose one card from your discard pile to add to your hand.			1	0	0.5	0	0	0	shine			Sacrifice{desc}Choisis 2 cartes à éliminer. Choisis une carte de ta défausse à ajouter à ta main.	Opfer{desc}Erschöpfe 2 Karten deiner Wahl. Wähle 1 Karte aus deinem Ablagestapel aus und nimm sie auf die Hand.	Sacrificio{desc}Consume dos cartas, las que quieras. Escoge una carta de la pila de descartes y añádela a tu mano.	Sacrifício{desc}Escolha duas cartas para colocar em Exaustão. Escolha uma carta da sua pilha de descarte para adicionar à sua mão.	牺牲{desc}选择 2 张牌耗尽。从你的弃牌堆中选择 1 张牌加入你的手牌。	犠牲{desc}「消耗」状態にするカードを2枚選ぶ。捨て札から1枚選んで手札に加える。	Жертвоприношение{desc}Сожгите две карты. Выберите одну карту из вашей стопки сброса, чтобы добавить в вашу руку.
